date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2009-05-27,12.3,15.5,14.6,12.2,4911167.0,2.34,19.09,10.086,7.976,12.676,5219518.6,3908747.4,3864850.9
2009-04-30,9.85,12.34,12.26,9.19,5427349.0,2.42,24.59,8.238,7.323,13.422,5023106.8,3797450.0,3902445.15
2009-03-31,7.4,10.28,9.84,7.36,5349583.0,2.39,32.08,6.94,6.882,14.039,4728527.0,3540906.0,3912031.1
2009-02-27,6.31,9.52,7.45,6.3,7027686.0,1.17,18.63,5.96,7.132,14.742,3953409.2,3381196.3,3916251.4
2009-01-23,5.53,6.34,6.28,5.43,3381808.0,0.92,17.16,5.832,7.96,15.234,2979359.8,3121132.1,4113060.4
2008-12-31,5.71,6.95,5.36,5.28,3929108.0,-0.41,-7.11,5.866,8.705,15.68,2597976.2,3205515.4,4479806.3
2008-11-28,4.94,6.38,5.77,4.78,3954450.0,0.83,16.8,6.408,10.056,16.131,2571793.2,3068332.8,4672387.6
2008-10-31,6.82,6.83,4.94,4.88,1473994.0,-1.87,-27.46,6.824,11.54,16.462,2353285.0,3246812.6,4703960.6
2008-09-26,6.32,6.93,6.81,5.39,2157439.0,0.36,5.58,8.304,13.675,16.869,2808983.4,3392184.6,4829918.2
2008-08-29,8.09,8.31,6.45,5.98,1474890.0,-1.62,-20.07,10.088,15.392,17.003,3262904.4,3529540.3,5015212.05
2008-07-31,7.87,8.97,8.07,7.4,3798193.0,0.22,2.8,11.544,17.376,17.089,3813054.6,3820954.4,5295747.5
2008-06-30,12.29,12.85,7.85,7.7,2861909.0,-4.49,-36.39,13.704,19.521,17.013,3564872.4,4007440.3,5407666.0
2008-05-30,15.9,16.35,12.34,11.95,3752486.0,-3.39,-21.55,16.256,21.195,16.889,4140340.2,4283156.2,5367396.75
2008-04-30,13.59,15.96,15.73,12.3,4427044.0,2.0,14.57,19.046,22.351,16.532,3975385.8,4451306.5,5294544.45
2008-03-31,18.6,19.45,13.73,13.21,4225641.0,-5.14,-27.24,20.696,22.507,16.014,3796176.2,5104988.7,5199319.75
2008-02-29,20.6,22.47,18.87,17.78,2557282.0,-1.74,-8.44,23.208,22.654,15.613,3828854.2,5754097.2,5150640.65
2008-01-31,26.32,28.77,20.61,20.6,5739248.0,-5.68,-21.61,25.338,22.205,14.962,4450008.2,6276442.4,5299944.35
2007-12-28,24.4,28.88,26.29,23.8,2927714.0,2.31,9.63,26.134,21.383,14.174,4425972.2,6161108.6,5237028.8
2007-11-30,26.29,26.36,23.98,20.0,3530996.0,-2.31,-8.79,25.656,20.063,13.037,4927227.2,6267651.8,5211918.9
2007-10-31,30.25,32.9,26.29,24.48,4389031.0,-3.23,-10.94,24.318,18.613,12.012,6413801.2,6500883.8,5126757.45
2007-09-28,24.7,32.0,29.52,24.0,5663052.0,4.93,20.05,22.1,16.802,10.875,7679340.2,6770540.6,5015065.6
2007-08-31,23.9,25.86,24.59,22.7,5619068.0,0.69,2.89,19.072,14.504,9.584,8102876.6,6807891.7,4814847.35
2007-07-31,17.15,24.74,23.9,16.61,5433989.0,6.61,38.23,16.632,12.582,8.52,7896245.0,6451637.3,4606639.25
2007-06-29,15.2,19.56,17.29,12.73,10963866.0,2.09,13.75,14.47,10.713,7.478,7608076.4,6137782.4,4422134.3
2007-05-31,14.8,16.75,15.2,13.59,10716726.0,0.82,5.7,12.908,9.52,6.773,6587966.4,5293650.8,4126319.6
2007-04-30,12.46,15.05,14.38,12.46,7780734.0,1.99,16.06,11.504,8.571,6.271,5861741.0,4547184.1,3713451.55
2007-03-30,13.05,14.26,12.39,11.69,4585910.0,-0.7,-5.35,9.936,7.719,5.795,5512906.8,4323446.3,3480874.9
2007-02-28,9.22,13.42,13.09,8.65,3993146.0,3.61,38.08,8.532,6.964,5.423,5007029.6,4312949.0,3358059.25
2007-01-31,8.3,11.3,9.48,8.18,5863316.0,1.3,15.89,6.956,6.01,4.984,4667488.4,4156186.0,3318755.5
2006-12-29,6.55,8.6,8.18,6.4,7085599.0,1.64,25.08,6.132,5.411,4.724,3999335.2,3752631.1,3091519.2
2006-11-30,5.43,6.78,6.54,5.36,6036563.0,1.17,21.79,5.638,4.948,4.52,3232627.2,3259590.6,2877934.85
2006-10-31,5.26,5.43,5.37,5.01,2056524.0,0.16,3.07,5.502,4.663,4.409,3133985.8,2821803.0,2690685.55
2006-09-29,5.35,5.65,5.21,4.8,2295440.0,-0.15,-2.8,5.396,4.457,4.415,3618868.4,2761641.2,2734322.25
2006-08-31,5.69,5.81,5.36,4.6,2522550.0,-0.35,-6.13,5.064,4.243,4.409,3644883.6,2706486.2,2747655.85
2006-07-31,5.95,6.8,5.71,5.51,3252059.0,-0.15,-2.56,4.69,4.025,4.378,3505927.0,2958988.4,2712474.1
2006-06-30,4.95,6.38,5.86,4.92,5543356.0,1.02,21.07,4.258,3.97,4.375,3286554.0,2879719.0,2644884.75
2006-05-31,3.51,5.09,4.84,3.51,4480937.0,1.29,36.34,3.824,3.87,4.372,2509620.2,2638303.5,2468474.05
2006-04-28,3.48,3.75,3.55,3.4,2425516.0,0.06,1.72,3.518,3.882,4.521,1904414.0,2403169.5,2337470.9
2006-03-31,3.56,3.72,3.49,3.41,1827767.0,-0.06,-1.69,3.422,3.957,4.749,1768088.8,2481325.0,2264169.2
2006-02-28,3.68,3.94,3.55,3.39,2155194.0,-0.14,-3.79,3.36,4.037,4.965,2412049.8,2430407.3,2257427.6
2006-01-25,3.3,3.83,3.69,3.25,1658687.0,0.38,11.48,3.682,4.092,5.213,2472884.0,2496279.1,2205991.2
2005-12-30,3.06,3.38,3.31,3.04,1454906.0,0.24,7.82,3.916,4.155,5.671,2766986.8,2559568.1,2152841.8
2005-11-30,3.19,3.25,3.07,2.93,1743890.0,-0.11,-3.46,4.246,4.373,6.19,2901925.0,2707003.3,2155860.55
2005-10-31,3.98,3.98,3.18,3.1,5047572.0,-1.98,-38.37,4.492,4.574,6.783,3194561.2,2788825.5,2145000.8
2005-09-29,4.86,5.43,5.16,4.75,2459365.0,0.3,6.17,4.714,4.731,7.406,2448764.8,2465959.8,2010405.5
2005-08-31,4.95,5.37,4.86,4.7,3129201.0,-0.1,-2.02,4.502,4.779,7.88,2519674.2,2410050.5,1979203.1
2005-07-29,4.31,5.02,4.96,4.08,2129597.0,0.66,15.35,4.394,4.873,8.326,2352149.4,2298644.6,1943344.25
2005-06-30,4.28,4.87,4.3,3.98,3207071.0,0.01,0.23,4.5,5.159,8.776,2512081.6,2271772.3,1915920.25
2005-05-31,4.15,4.38,4.29,3.99,1318590.0,0.19,4.63,4.656,5.541,9.194,2383089.8,2047013.4,1817600.65
2005-04-29,4.31,4.55,4.1,3.97,2813912.0,-0.22,-5.09,4.748,5.892,9.564,2483154.8,2084447.9,1795832.5
2005-03-31,5.49,5.53,4.32,4.22,2291577.0,-1.17,-21.31,5.056,6.334,9.969,2300426.8,1915703.3,1698130.45
2005-02-28,5.09,5.97,5.49,5.06,2929258.0,0.41,8.07,5.352,7.187,10.396,2245139.8,1746115.5,1706252.75
2005-01-31,4.71,5.64,5.08,4.5,2562112.0,0.33,6.95,5.818,8.007,10.715,2031463.0,1604717.8,1660144.45
2004-12-31,5.64,5.98,4.75,4.7,1818915.0,-0.89,-15.78,6.426,8.992,11.086,1710937.0,1501176.1,1713550.0
2004-11-30,5.8,6.16,5.64,5.57,1900272.0,-0.16,-2.76,7.036,10.081,11.446,1685741.0,1554851.2,2019159.6
2004-10-29,7.8,7.82,5.8,5.66,2015142.0,-2.02,-25.83,7.612,10.981,11.632,1530979.8,1548355.7,2049391.3
2004-09-30,8.08,8.65,7.82,7.25,1860874.0,-0.3,-3.69,9.022,11.778,11.748,1247091.2,1588043.9,2004600.75
2004-08-31,7.8,8.57,8.12,7.64,959482.0,0.32,4.1,10.196,12.393,11.761,1177972.6,1560068.2,2041601.4
2004-07-30,8.45,8.8,7.8,7.48,1692935.0,-0.72,-8.45,11.558,12.846,11.694,1291415.2,1588187.9,2024899.5
2004-06-30,12.8,13.02,8.52,7.94,1126466.0,-4.33,-33.7,13.126,13.235,11.658,1423961.4,1507217.1,2007437.2
2004-05-31,13.72,13.89,12.85,11.85,595699.0,-0.84,-6.14,14.35,13.603,11.579,1565731.6,1480557.6,1968384.1
2004-04-30,15.28,15.43,13.69,13.32,1515281.0,-1.24,-8.3,14.534,13.604,11.282,1928996.6,1666390.0,1959251.1
2004-03-31,15.68,16.29,14.93,14.66,1526695.0,-0.71,-4.54,14.59,13.423,10.964,1942163.8,1715571.1,1916361.3
2004-02-27,15.24,15.94,15.64,14.1,2355666.0,1.0,6.83,14.134,13.18,10.574,1884960.6,1925923.9,1918724.4
2004-01-30,13.67,16.62,14.64,13.46,1835317.0,0.87,6.32,13.344,12.81,10.182,1590472.8,2483468.0,1928209.9
2003-12-31,14.01,14.8,13.77,12.58,2412024.0,-0.2,-1.43,12.856,12.282,9.769,1395383.6,2550426.9,1866754.65
2003-11-28,12.6,14.4,13.97,12.56,1581117.0,1.32,10.44,12.674,11.717,9.435,1403783.4,2421157.6,1800815.65
2003-10-31,11.55,13.16,12.65,11.5,1240679.0,0.96,8.21,12.256,11.128,9.075,1488978.4,2523134.6,1861369.45
2003-09-30,12.23,12.88,11.69,11.37,883227.0,-0.51,-4.18,12.226,10.542,8.775,1966887.2,2461611.1,1826765.35
2003-08-29,12.8,13.15,12.2,11.7,859871.0,-0.66,-5.13,12.276,10.08,8.519,3376463.2,2507657.3,1872262.35
2003-07-31,11.89,13.5,12.86,11.89,2454023.0,0.98,8.25,11.708,9.554,8.276,3705470.2,2456210.6,1928238.55
2003-06-30,12.5,12.67,11.88,11.26,2007092.0,-0.62,-4.96,10.76,8.959,8.002,3438531.8,2252112.2,1910353.55
2003-05-30,12.08,13.48,12.5,11.87,3630223.0,0.56,4.69,10.0,8.505,7.799,3557290.8,2117151.5,1876401.35
